"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
037229,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037230,4,,5,,92,,5,,89,,3,,78,,4,,90,,80,,161,,41,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,4,11,4,11,91,11,5,11,88,11,5,11,86,11,3,11,86,11,74,11,53,11,17,11,11
037233,Not Available,11,Not Available,11,85,11,Not Available,11,85,11,Not Available,11,73,11,Not Available,11,89,11,83,11,22,11,16,11,11
037234,4,,5,,88,,3,,77,,2,,71,,4,,80,,43,,72,,17,,
037235,2,,2,,83,,3,,78,,2,,72,,1,,77,,64,,317,,17,,
037239,3,,4,,89,,3,,82,,3,,80,,3,,84,,78,,235,,21,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,94,9,Not Available,9,90,9,Not Available,9,91,9,Not Available,9,100,9,87,9,4,9,4,9,9
037245,2,,3,,84,,2,,79,,2,,71,,2,,79,,68,,166,,26,,
037246,3,,4,,90,,3,,84,,1,,64,,3,,83,,78,,84,,23,,
037247,3,,4,,86,,3,,83,,3,,78,,3,,85,,74,,130,,33,,
037248,2,,2,,83,,3,,81,,2,,76,,1,,74,,70,,229,,31,,
037249,3,,4,,91,,3,,85,,2,,76,,3,,84,,81,,131,,15,,
037250,3,,3,,86,,3,,78,,2,,76,,2,,82,,71,,109,,22,,
037251,Not Available,9,Not Available,9,93,9,Not Available,9,75,9,Not Available,9,65,9,Not Available,9,63,9,63,9,6,9,19,9,9
037252,3,,4,,87,,4,,85,,3,,78,,2,,82,,77,,145,,38,,
037253,3,,3,,86,,3,,82,,2,,76,,3,,83,,76,,153,,19,,
037257,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037258,3,,3,,88,,5,,89,,2,,75,,2,,77,,73,,77,,18,,
037260,3,,4,,88,,3,,81,,3,,79,,3,,84,,76,,253,,23,,
037261,Not Available,9,Not Available,9,88,9,Not Available,9,89,9,Not Available,9,80,9,Not Available,9,73,9,57,9,10,9,24,9,9
037262,3,,3,,87,,3,,80,,2,,74,,2,,80,,69,,205,,19,,
037263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
